title,reference,nature,business_type,price,price_on_request,district,municipality,parish,bedrooms,bathrooms,gross_area,useful_area,description,construction_status,energy_certificate,images,source_url
Apartamento T1 Em Construcao Para Venda Junto A Faculdade De Medicina Covilha Apa 237,APA-237,apartment,sale,,true,Castelo Branco,Covilhã,,1,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t1-em-construcao-para-venda-junto-a-faculdade-de-medicina-covilha-apa-237/
Moradia T21 Reconstruida Sem Acabamento Interior Covilha Cas 133,CAS-133,house,sale,,true,Castelo Branco,Covilhã,,21,,,,,new,,,http://www.covialvi.com/imovel/moradia-t21-reconstruida-sem-acabamento-interior-covilha-cas-133/
Apartamento T2 Em Construcao Para Venda Junto A Faculdade De Medicina Covilha Apa 234,APA-234,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t2-em-construcao-para-venda-junto-a-faculdade-de-medicina-covilha-apa-234/
Apartamento T3 Duplex Em Construcao Para Venda Junto A Faculdade De Medicina Covilha Apa 238,APA-238,apartment,sale,,true,Castelo Branco,Covilhã,,3,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t3-duplex-em-construcao-para-venda-junto-a-faculdade-de-medicina-covilha-apa-238/
Apartamento T1 Em Construcao Para Venda Junto A Faculdade De Medicina Covilha Apa 233,APA-233,apartment,sale,,true,Castelo Branco,Covilhã,,1,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t1-em-construcao-para-venda-junto-a-faculdade-de-medicina-covilha-apa-233/
Apartamento T3 Em Construcao Para Venda Junto A Faculdade De Medicina Covilha Apa 236,APA-236,apartment,sale,,true,Castelo Branco,Covilhã,,3,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t3-em-construcao-para-venda-junto-a-faculdade-de-medicina-covilha-apa-236/
Apartamento T3 Em Construcao Para Venda Junto A Faculdade De Medicina Covilha Apa 235,APA-235,apartment,sale,,true,Castelo Branco,Covilhã,,3,,,,,under_construction,,,http://www.covialvi.com/imovel/apartamento-t3-em-construcao-para-venda-junto-a-faculdade-de-medicina-covilha-apa-235/
Loja Para Comercio E Servicos Cidade Nova Covilha Bot 212,BOT-212,shop,sale,,true,Castelo Branco,Covilhã,,,,,,,new,,,http://www.covialvi.com/imovel/loja-para-comercio-e-servicos-cidade-nova-covilha-bot-212/
Loja Para Comercio E Servicos Cidade Nova Covilha Bot 222,BOT-222,shop,sale,,true,Castelo Branco,Covilhã,,,,,,,new,,,http://www.covialvi.com/imovel/loja-para-comercio-e-servicos-cidade-nova-covilha-bot-222/
Espaco Comercial Para Comercio E Servicos Covilha Bot 223,BOT-223,commercial,sale,,true,Castelo Branco,Covilhã,,,,,,,new,,,http://www.covialvi.com/imovel/espaco-comercial-para-comercio-e-servicos-covilha-bot-223/
Loja Para Comercio E Servicos Cidade Nova Covilha Bot 224,BOT-224,shop,sale,,true,Castelo Branco,Covilhã,,,,,,,new,,,http://www.covialvi.com/imovel/loja-para-comercio-e-servicos-cidade-nova-covilha-bot-224/
Apartamento T1 Para Venda Edif Habitacional Trindade Torraltinha Lagos Lagos Apa 231,APA-231,apartment,sale,,true,Faro,Lagos,,1,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t1-para-venda-edif-habitacional-trindade-torraltinha-lagos-lagos-apa-231/
Apartamento T2 Para Venda Edif Habitacional Trindade Torraltinha Lagos Lagos Apa 232,APA-232,apartment,sale,,true,Faro,Lagos,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-edif-habitacional-trindade-torraltinha-lagos-lagos-apa-232/
Apartamento T1 Para Venda Edif Habitacional Trindade Torraltinha Lagos Lagos Apa 230,APA-230,apartment,sale,,true,Faro,Lagos,,1,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t1-para-venda-edif-habitacional-trindade-torraltinha-lagos-lagos-apa-230/
Moradia T2 Duplex 2 Belo Zezere Tortosendo Covilha Hab 225,HAB-225,house,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/moradia-t2-duplex-2-belo-zezere-tortosendo-covilha-hab-225/
Moradia Em Banda T3 Duplex 2 Belo Zezere Tortosendo Covilha Hab 229,HAB-229,house,sale,,true,Castelo Branco,Covilhã,,3,,,,,new,,,http://www.covialvi.com/imovel/moradia-em-banda-t3-duplex-2-belo-zezere-tortosendo-covilha-hab-229/
Moradia Bifamiliar T3 Belo Zezere Tortosendo Covilha Hab 228,HAB-228,house,sale,,true,Castelo Branco,Covilhã,,3,,,,,new,,,http://www.covialvi.com/imovel/moradia-bifamiliar-t3-belo-zezere-tortosendo-covilha-hab-228/
Moradia Bifamiliar T3 Belo Zezere Tortosendo Covilha Hab 226,HAB-226,house,sale,,true,Castelo Branco,Covilhã,,3,,,,,new,,,http://www.covialvi.com/imovel/moradia-bifamiliar-t3-belo-zezere-tortosendo-covilha-hab-226/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 201,APA-201,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-201/
Apartamento T1 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 192,APA-192,apartment,sale,,true,Castelo Branco,Covilhã,,1,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t1-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-192/
Apartamento T1 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 204,APA-204,apartment,sale,,true,Castelo Branco,Covilhã,,1,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t1-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-204/
Apartamento T1 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 205,APA-205,apartment,sale,,true,Castelo Branco,Covilhã,,1,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t1-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-205/
Apartamento T5 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 203,APA-203,apartment,sale,,true,Castelo Branco,Covilhã,,5,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t5-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-203/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 193,APA-193,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-193/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 208,APA-208,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-208/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 200,APA-200,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-200/
Apartamento T1 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 196,APA-196,apartment,sale,,true,Castelo Branco,Covilhã,,1,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t1-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-196/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 199,APA-199,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-199/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 197,APA-197,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-197/
Apartamento T1 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 194,APA-194,apartment,sale,,true,Castelo Branco,Covilhã,,1,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t1-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-194/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 198,APA-198,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-198/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 206,APA-206,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-206/
Apartamento T2 Para Venda Quinta Do Pinheiro Cidade Nova Covilha Apa 209,APA-209,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-quinta-do-pinheiro-cidade-nova-covilha-apa-209/
Apartamento T2 Para Venda Qta Do Pinheiro Cidade Nova Covilha Apa 195,APA-195,apartment,sale,,true,Castelo Branco,Covilhã,,2,,,,,new,,,http://www.covialvi.com/imovel/apartamento-t2-para-venda-qta-do-pinheiro-cidade-nova-covilha-apa-195/
